attacker_model,victim_model,vanilla_breach_rate,plus_breach_rate,delta_breach_pp,vanilla_impact_mean,plus_impact_mean,delta_impact,n_vanilla,n_plus
ArcFace,Facenet,0.1696,0.272,10.240000000000002,0.18296356137823314,0.24283506832094864,0.05987150694271551,5000,5000
ArcFace,Facenet512,0.1572,0.2502,9.299999999999997,0.18261495912265963,0.23696916127633302,0.0543542021536734,5000,5000
ArcFace,GhostFaceNet,0.327,0.375,4.799999999999999,0.08206638442287219,0.09863044441896489,0.0165640599960927,5000,5000
ArcFace,IR152,0.095,0.1744,7.9399999999999995,0.14460933972061613,0.18790526961050927,0.04329592988989314,5000,5000
ArcFace,VGG-Face,0.1774,0.2544,7.700000000000001,0.09467819056166335,0.12045884536253289,0.025780654800869537,5000,5000
Facenet512,ArcFace,0.4286,0.4754,4.680000000000001,0.187546467910707,0.20507966123111546,0.017533193320408452,5000,5000
Facenet512,Facenet,0.722,0.7772,5.520000000000003,0.4902268861325458,0.5265199653480201,0.036293079215474366,5000,5000
Facenet512,GhostFaceNet,0.3972,0.4278,3.0600000000000014,0.10852569585908202,0.11918885040525347,0.01066315454617145,5000,5000
Facenet512,IR152,0.1916,0.2418,5.02,0.1973338664936833,0.2185637199413497,0.021229853447666397,5000,5000
Facenet512,VGG-Face,0.453,0.5092,5.619999999999997,0.1807237981762737,0.19772660851422696,0.017002810337953256,5000,5000
GhostFaceNet,ArcFace,0.16492985971943888,0.2160320641282565,5.110220440881763,0.07184798940148329,0.09547697850736321,0.02362898910587992,4990,4990
GhostFaceNet,Facenet,0.044889779559118236,0.07575150300601202,3.0861723446893787,0.0816214398008758,0.11530558595430099,0.03368414615342519,4990,4990
GhostFaceNet,Facenet512,0.03907815631262525,0.07194388777555111,3.286573146292586,0.08623036437510195,0.11856855376136444,0.032338189386262484,4990,4990
GhostFaceNet,IR152,0.04849699398797595,0.07535070140280561,2.685370741482966,0.08524656149694966,0.11748608605169086,0.0322395245547412,4990,4990
GhostFaceNet,VGG-Face,0.06813627254509018,0.09739478957915831,2.9258517034068134,0.043512019678858836,0.05895071171951068,0.015438692040651847,4990,4990
VGG-Face,ArcFace,0.4102,0.4918,8.16,0.18061435588672758,0.21335752660837023,0.03274317072164265,5000,5000
VGG-Face,Facenet,0.3798,0.514,13.419999999999998,0.3075852880027145,0.3653129072032869,0.0577276192005724,5000,5000
VGG-Face,Facenet512,0.4572,0.5868,12.959999999999999,0.3465138490977697,0.41339924483280627,0.06688539573503655,5000,5000
VGG-Face,GhostFaceNet,0.3544,0.3978,4.34,0.09483965747358741,0.10908251063078642,0.014242853157199004,5000,5000
VGG-Face,IR152,0.0992,0.1474,4.82,0.1506731094364077,0.1795691880548373,0.028896078618429605,5000,5000
