setting,attack,vanilla_breach_rate,plus_breach_rate,vanilla_impact_mean,plus_impact_mean,delta_breach_pp,delta_impact
Impersonation,PGD,0.07029605724708854,0.10326925775220991,0.04826964608891349,0.061300886632593365,3.2973200505121367,0.013031240543679878
Impersonation,MI-FGSM,0.1324540479865301,0.1696365932369861,0.0733265386910124,0.08604736432529955,3.7182545250456,0.012720825634287156
Impersonation,TI-FGSM,0.10621579907394416,0.13483934334221973,0.06265235714242225,0.07268661179886747,2.862354426827557,0.010034254656445224
Impersonation,SI-NI-FGSM,0.17272344605023152,0.21299284411393293,0.08632648549464328,0.10046336665859053,4.026939806370142,0.014136881163947249
Impersonation,MI-ADMIX-DI-TI,0.13006875263084047,0.14241616388382208,0.07327851149767359,0.07717169403536021,1.234741125298161,0.0038931825376866264
Dodging,PGD,0.26259479956663057,0.32881906825568796,0.1208544261599684,0.15619536097926306,6.622426868905739,0.035340934819294664
Dodging,MI-FGSM,0.42185807150595883,0.5021668472372698,0.20503788635087777,0.24006952029908427,8.030877573131095,0.03503163394820649
Dodging,TI-FGSM,0.3359967497291441,0.39436619718309857,0.1654805558010177,0.19311411800446948,5.836944745395445,0.027633562203451784
Dodging,SI-NI-FGSM,0.46248645720476705,0.5349404117009751,0.22362239795491273,0.25318807177504177,7.2453954496208,0.029565673820129035
Dodging,MI-ADMIX-DI-TI,0.4057421451787649,0.4312026002166847,0.19810930394613838,0.21013056818004355,2.5460455037919827,0.012021264233905177
